Url, Site, Type, Size, Date Created, Date Modified, Sub-Directories, Owner
\\lehi3\www$\GovernmentResources.htm, \, .htm, 2149B, 2006/03/31, 2004/08/11, 0, BUILTIN\Administrators
\\lehi3\www$\go_over.gif, \, .gif, 1722B, 2006/03/31, 2004/09/02, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\hilites.xml, \, .xml, 918B, 2006/03/31, 2004/10/27, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\hilites.xsl, \, .xsl, 1552B, 2006/03/31, 2004/10/28, 0, S-1-5-21-1606980848-308236825-1801674531-17679
\\lehi3\www$\holder.gif, \, .gif, 817B, 2006/03/31, 2001/08/09, 0, BUILTIN\Administrators
\\lehi3\www$\i-learn alias, i-learn alias, , 1939012B, 2013/02/25, 2013/02/25, 0, BUILTIN\Administrators
\\lehi3\www$\igx3serverstats.jpg, \, .jpg, 514189B, 2018/05/21, 2018/05/21, 0, BUILTIN\Administrators
\\lehi3\www$\line.gif, \, .gif, 35B, 2006/03/31, 2001/07/17, 0, BUILTIN\Administrators
\\lehi3\www$\Linux_certs_2012.tgz, \, .tgz, 5802B, 2009/05/09, 2009/04/17, 0, BUILTIN\Administrators
\\lehi3\www$\load.asp, \, .asp, 1826B, 2011/03/22, 2011/03/25, 0, BUILTIN\Administrators
